funding_round_uuid,investor_uuid,partner_uuid
1637e281-e23d-cca8-0552-1c5588360bf2,b51ff078-c9d9-9f51-681d-4f9ac888e070,79982675-e1c8-1029-b989-28d95f3802c7
1637e281-e23d-cca8-0552-1c5588360bf2,4e0cf914-3a8e-c3c2-4ef8-ee6f5e8fdb47,19513fae-7d4a-7a29-783a-9fe7c6f7a808
1637e281-e23d-cca8-0552-1c5588360bf2,ac53f2c3-4fd6-45c3-3a21-966c4d950f8f,38879422-4c52-e748-6118-b0cafddd4cb7
1637e281-e23d-cca8-0552-1c5588360bf2,8ca0a6a5-15ba-2e62-3d45-eac4cb4d41de,1fa3d738-0590-39b4-39f5-cd0b04c23e61
62f440bd-6ec1-9b9b-8451-83c2f0703077,49a2ea46-f776-b200-18d7-4f7690e8dc05,e2cfbda4-a48f-2427-8607-2fff986a7166
a6dd0dd6-b0bb-1be9-adf7-50abc6317d92,6a7066ef-82d7-2adc-5dc0-31776aa12556,53f043f3-2d91-f7ef-36eb-1697138e409f
ff4435b0-a127-38e0-bb1e-d326fc37abb9,fd0c6051-176b-b3a6-2124-b071945d3b02,a47fd6a3-8532-5a82-93b5-08bf6d38effa
ff4435b0-a127-38e0-bb1e-d326fc37abb9,9dd7066b-069a-9dd9-c211-06db31253bd0,b494852a-3c56-cb5e-743c-e367c6ff614c
6d0881ed-3aff-b85f-50d1-1bf530004868,8ca77695-b2ff-b12e-9e8f-3579fcf70ca6,7f3ddaaf-657d-d976-9efc-3602c4f108ef
6d0881ed-3aff-b85f-50d1-1bf530004868,b08efc27-da40-505a-6f9d-c9e14247bf36,1b92100a-d9b0-0a41-e806-fb9b17afd946
b02ec57b-c87a-6a60-5475-f2536e6ca9cc,4a97f042-2d36-c628-178a-afbb0945a362,78d8ba32-3e95-4d30-7816-1c805cb8f4cd
2943f4f0-bf23-f7f4-e3f0-c8c76d08a61a,d8d42916-895c-5414-d259-d36b28e94f51,2567df70-4fbe-418f-8b76-21cf97b1a3f7
4767016c-d943-00ac-624a-7c7a53cd2a8c,0eb44ea3-d9aa-607f-e41f-d4c3e554cd2e,1648c02f-6667-2439-a513-b76e8cc9d7b6
4767016c-d943-00ac-624a-7c7a53cd2a8c,989c5834-ecda-9c9e-50f8-33b69e253d47,c10fbf7b-0096-cd97-8520-d3b4977c52dc
4767016c-d943-00ac-624a-7c7a53cd2a8c,5a79290b-01b0-156d-8a54-214a9706b818,6457f6b3-18f7-f2b0-1159-96fae4ae5e8b
