entity_uuid,competitor_uuid,created_at,updated_at
83f87630-de5b-272c-0529-343b9428af85,3f846466-c861-e3a0-d86a-567555f3ab9a,2016-04-17 08:54:59 +0000,2016-04-17 08:54:59 +0000
57fc977b-17b4-6ebd-317e-782b0e885ef9,701a6e9d-7854-5faf-f18a-20890af3ef04,2016-04-16 11:58:09 +0000,2016-04-16 11:58:09 +0000
3c32c1da-f8af-69ef-487e-ac94186681c0,fd0a79c6-fb53-9504-100b-01ff036c6209,2016-04-16 01:23:29 +0000,2016-04-16 01:23:29 +0000
1f0b0cd8-2a41-5cd2-a5af-953ce1b4e413,da7a7e7e-d823-3379-df50-96f06673a44b,2016-04-15 23:25:24 +0000,2016-04-15 23:25:24 +0000
1190f0aa-5d81-422d-a44c-119a4e11c5b3,17d00610-66ee-7a86-54e6-26a1a9740b5c,2016-04-15 21:07:50 +0000,2016-04-15 21:07:50 +0000
1190f0aa-5d81-422d-a44c-119a4e11c5b3,17d00610-66ee-7a86-54e6-26a1a9740b5c,2016-04-15 21:07:50 +0000,2016-04-15 21:07:50 +0000
1190f0aa-5d81-422d-a44c-119a4e11c5b3,17d00610-66ee-7a86-54e6-26a1a9740b5c,2016-04-15 21:07:50 +0000,2016-04-15 21:07:50 +0000
1190f0aa-5d81-422d-a44c-119a4e11c5b3,17d00610-66ee-7a86-54e6-26a1a9740b5c,2016-04-15 21:07:50 +0000,2016-04-15 21:07:50 +0000
1190f0aa-5d81-422d-a44c-119a4e11c5b3,17d00610-66ee-7a86-54e6-26a1a9740b5c,2016-04-15 21:07:50 +0000,2016-04-15 21:07:50 +0000
1190f0aa-5d81-422d-a44c-119a4e11c5b3,17d00610-66ee-7a86-54e6-26a1a9740b5c,2016-04-15 21:07:50 +0000,2016-04-15 21:07:50 +0000
1190f0aa-5d81-422d-a44c-119a4e11c5b3,80841849-3bcc-999d-b0e0-318c140ba2cd,2016-04-15 21:07:32 +0000,2016-04-15 21:07:32 +0000
1190f0aa-5d81-422d-a44c-119a4e11c5b3,80841849-3bcc-999d-b0e0-318c140ba2cd,2016-04-15 21:07:32 +0000,2016-04-15 21:07:32 +0000
1190f0aa-5d81-422d-a44c-119a4e11c5b3,80841849-3bcc-999d-b0e0-318c140ba2cd,2016-04-15 21:07:32 +0000,2016-04-15 21:07:32 +0000
1190f0aa-5d81-422d-a44c-119a4e11c5b3,80841849-3bcc-999d-b0e0-318c140ba2cd,2016-04-15 21:07:32 +0000,2016-04-15 21:07:32 +0000
1190f0aa-5d81-422d-a44c-119a4e11c5b3,80841849-3bcc-999d-b0e0-318c140ba2cd,2016-04-15 21:07:32 +0000,2016-04-15 21:07:32 +0000
1190f0aa-5d81-422d-a44c-119a4e11c5b3,80841849-3bcc-999d-b0e0-318c140ba2cd,2016-04-15 21:07:32 +0000,2016-04-15 21:07:32 +0000
1190f0aa-5d81-422d-a44c-119a4e11c5b3,d0f927cb-f6cf-7ac1-3e2a-57936fd7e869,2016-04-15 21:07:18 +0000,2016-04-15 21:07:18 +0000
1190f0aa-5d81-422d-a44c-119a4e11c5b3,d0f927cb-f6cf-7ac1-3e2a-57936fd7e869,2016-04-15 21:07:18 +0000,2016-04-15 21:07:18 +0000
1190f0aa-5d81-422d-a44c-119a4e11c5b3,d0f927cb-f6cf-7ac1-3e2a-57936fd7e869,2016-04-15 21:07:18 +0000,2016-04-15 21:07:18 +0000
1190f0aa-5d81-422d-a44c-119a4e11c5b3,d0f927cb-f6cf-7ac1-3e2a-57936fd7e869,2016-04-15 21:07:18 +0000,2016-04-15 21:07:18 +0000
1190f0aa-5d81-422d-a44c-119a4e11c5b3,d0f927cb-f6cf-7ac1-3e2a-57936fd7e869,2016-04-15 21:07:18 +0000,2016-04-15 21:07:18 +0000
1190f0aa-5d81-422d-a44c-119a4e11c5b3,d0f927cb-f6cf-7ac1-3e2a-57936fd7e869,2016-04-15 21:07:18 +0000,2016-04-15 21:07:18 +0000
1190f0aa-5d81-422d-a44c-119a4e11c5b3,1f43d85b-9d36-59bf-73c2-32d5c663094e,2016-04-15 21:07:01 +0000,2016-04-15 21:07:01 +0000
1190f0aa-5d81-422d-a44c-119a4e11c5b3,1f43d85b-9d36-59bf-73c2-32d5c663094e,2016-04-15 21:07:01 +0000,2016-04-15 21:07:01 +0000
1190f0aa-5d81-422d-a44c-119a4e11c5b3,1f43d85b-9d36-59bf-73c2-32d5c663094e,2016-04-15 21:07:01 +0000,2016-04-15 21:07:01 +0000
1190f0aa-5d81-422d-a44c-119a4e11c5b3,1f43d85b-9d36-59bf-73c2-32d5c663094e,2016-04-15 21:07:01 +0000,2016-04-15 21:07:01 +0000
1190f0aa-5d81-422d-a44c-119a4e11c5b3,1f43d85b-9d36-59bf-73c2-32d5c663094e,2016-04-15 21:07:01 +0000,2016-04-15 21:07:01 +0000
1190f0aa-5d81-422d-a44c-119a4e11c5b3,1f43d85b-9d36-59bf-73c2-32d5c663094e,2016-04-15 21:07:01 +0000,2016-04-15 21:07:01 +0000
1190f0aa-5d81-422d-a44c-119a4e11c5b3,ea2d73ba-9e60-9cda-1ca7-efe14708a620,2016-04-15 21:06:41 +0000,2016-04-15 21:06:41 +0000
1190f0aa-5d81-422d-a44c-119a4e11c5b3,ea2d73ba-9e60-9cda-1ca7-efe14708a620,2016-04-15 21:06:41 +0000,2016-04-15 21:06:41 +0000
1190f0aa-5d81-422d-a44c-119a4e11c5b3,ea2d73ba-9e60-9cda-1ca7-efe14708a620,2016-04-15 21:06:41 +0000,2016-04-15 21:06:41 +0000
1190f0aa-5d81-422d-a44c-119a4e11c5b3,ea2d73ba-9e60-9cda-1ca7-efe14708a620,2016-04-15 21:06:41 +0000,2016-04-15 21:06:41 +0000
1190f0aa-5d81-422d-a44c-119a4e11c5b3,ea2d73ba-9e60-9cda-1ca7-efe14708a620,2016-04-15 21:06:41 +0000,2016-04-15 21:06:41 +0000
1190f0aa-5d81-422d-a44c-119a4e11c5b3,ea2d73ba-9e60-9cda-1ca7-efe14708a620,2016-04-15 21:06:41 +0000,2016-04-15 21:06:41 +0000
1190f0aa-5d81-422d-a44c-119a4e11c5b3,e7eb6e24-4a9b-9746-a34e-b96e48e12323,2016-04-15 21:06:15 +0000,2016-04-15 21:06:15 +0000
1190f0aa-5d81-422d-a44c-119a4e11c5b3,e7eb6e24-4a9b-9746-a34e-b96e48e12323,2016-04-15 21:06:15 +0000,2016-04-15 21:06:15 +0000
1190f0aa-5d81-422d-a44c-119a4e11c5b3,e7eb6e24-4a9b-9746-a34e-b96e48e12323,2016-04-15 21:06:15 +0000,2016-04-15 21:06:15 +0000
1190f0aa-5d81-422d-a44c-119a4e11c5b3,e7eb6e24-4a9b-9746-a34e-b96e48e12323,2016-04-15 21:06:15 +0000,2016-04-15 21:06:15 +0000
1190f0aa-5d81-422d-a44c-119a4e11c5b3,e7eb6e24-4a9b-9746-a34e-b96e48e12323,2016-04-15 21:06:15 +0000,2016-04-15 21:06:15 +0000
1190f0aa-5d81-422d-a44c-119a4e11c5b3,e7eb6e24-4a9b-9746-a34e-b96e48e12323,2016-04-15 21:06:15 +0000,2016-04-15 21:06:15 +0000
6827f18b-09a0-58e4-ab12-0c26b8d2bda5,02e4a754-36fc-7cdb-02b4-48d3905e60ad,2016-04-15 17:27:09 +0000,2016-04-15 17:27:09 +0000
6827f18b-09a0-58e4-ab12-0c26b8d2bda5,02e4a754-36fc-7cdb-02b4-48d3905e60ad,2016-04-15 17:27:09 +0000,2016-04-15 17:27:09 +0000
6827f18b-09a0-58e4-ab12-0c26b8d2bda5,763a38db-806a-34ee-c934-1c16f09e13a2,2016-04-15 17:26:42 +0000,2016-04-15 17:26:42 +0000
6827f18b-09a0-58e4-ab12-0c26b8d2bda5,763a38db-806a-34ee-c934-1c16f09e13a2,2016-04-15 17:26:42 +0000,2016-04-15 17:26:42 +0000
c4afb48f-0582-c525-9f7f-c15cd69a3052,be065140-0089-8d18-d274-12e31498dafb,2016-04-15 15:26:12 +0000,2016-04-15 15:26:12 +0000
8b7ff80f-e9bf-20c4-8c19-9d4175363180,65b3fad1-0330-6f23-5e29-019c8165a28c,2016-04-15 14:44:14 +0000,2016-04-15 14:44:14 +0000
8b7ff80f-e9bf-20c4-8c19-9d4175363180,65b3fad1-0330-6f23-5e29-019c8165a28c,2016-04-15 14:44:14 +0000,2016-04-15 14:44:14 +0000
8b7ff80f-e9bf-20c4-8c19-9d4175363180,65b3fad1-0330-6f23-5e29-019c8165a28c,2016-04-15 14:44:14 +0000,2016-04-15 14:44:14 +0000
8b7ff80f-e9bf-20c4-8c19-9d4175363180,bc249ae1-242e-95f5-9681-e5c03ca44532,2016-04-15 14:43:51 +0000,2016-04-15 14:43:51 +0000
8b7ff80f-e9bf-20c4-8c19-9d4175363180,bc249ae1-242e-95f5-9681-e5c03ca44532,2016-04-15 14:43:51 +0000,2016-04-15 14:43:51 +0000
8b7ff80f-e9bf-20c4-8c19-9d4175363180,bc249ae1-242e-95f5-9681-e5c03ca44532,2016-04-15 14:43:51 +0000,2016-04-15 14:43:51 +0000
8b7ff80f-e9bf-20c4-8c19-9d4175363180,cafdc641-43e1-54e1-6aee-170f91005d6a,2016-04-15 14:43:01 +0000,2016-04-15 14:43:01 +0000
8b7ff80f-e9bf-20c4-8c19-9d4175363180,cafdc641-43e1-54e1-6aee-170f91005d6a,2016-04-15 14:43:01 +0000,2016-04-15 14:43:01 +0000
8b7ff80f-e9bf-20c4-8c19-9d4175363180,cafdc641-43e1-54e1-6aee-170f91005d6a,2016-04-15 14:43:01 +0000,2016-04-15 14:43:01 +0000
711294c7-4ed4-cd37-7b6e-fa3d9c6cc960,48fdf29e-9d21-4696-a8fa-6ca4fa628a7c,2016-04-15 13:52:28 +0000,2016-04-15 13:52:28 +0000
dd7d6f15-a818-954a-3f67-c1e292e6f97b,0480f38e-4d7b-4518-6338-b993579fd8d3,2016-04-15 11:52:42 +0000,2016-04-15 11:52:42 +0000
dd7d6f15-a818-954a-3f67-c1e292e6f97b,0480f38e-4d7b-4518-6338-b993579fd8d3,2016-04-15 11:52:42 +0000,2016-04-15 11:52:42 +0000
dd7d6f15-a818-954a-3f67-c1e292e6f97b,cbac648a-9b32-6c39-1696-cc627a8c9e7e,2016-04-15 11:52:28 +0000,2016-04-15 11:52:28 +0000
dd7d6f15-a818-954a-3f67-c1e292e6f97b,cbac648a-9b32-6c39-1696-cc627a8c9e7e,2016-04-15 11:52:28 +0000,2016-04-15 11:52:28 +0000
5ce4f21d-c31f-ef99-aec0-664aa02cb9d2,b6e1f019-42f5-7259-dc87-0de0ea01ae17,2016-04-15 07:49:51 +0000,2016-04-15 07:49:51 +0000
a0648ae3-e26f-8a7e-efeb-65f2443884d6,febb9d8f-1584-ccce-c8fb-519cfee926ab,2016-04-15 06:11:08 +0000,2016-04-15 06:11:08 +0000
4a3ff2b0-6674-62a5-38b0-3f2446ee0bde,d3f58a90-0597-0f3d-2dfe-01a5883e89de,2016-04-14 23:32:19 +0000,2016-04-14 23:32:19 +0000
a1048ed6-817f-e1e7-1d4c-35d8b80eaebd,e0a8abc2-56bd-f4d4-9ac4-cbd9122bbd9e,2016-04-14 18:15:22 +0000,2016-04-14 18:15:22 +0000
a1048ed6-817f-e1e7-1d4c-35d8b80eaebd,e0a8abc2-56bd-f4d4-9ac4-cbd9122bbd9e,2016-04-14 18:15:22 +0000,2016-04-14 18:15:22 +0000
a1048ed6-817f-e1e7-1d4c-35d8b80eaebd,e0a8abc2-56bd-f4d4-9ac4-cbd9122bbd9e,2016-04-14 18:15:22 +0000,2016-04-14 18:15:22 +0000
a1048ed6-817f-e1e7-1d4c-35d8b80eaebd,59fd365a-9b79-545c-650b-440cb792b797,2016-04-14 18:15:02 +0000,2016-04-14 18:15:02 +0000
a1048ed6-817f-e1e7-1d4c-35d8b80eaebd,59fd365a-9b79-545c-650b-440cb792b797,2016-04-14 18:15:02 +0000,2016-04-14 18:15:02 +0000
a1048ed6-817f-e1e7-1d4c-35d8b80eaebd,59fd365a-9b79-545c-650b-440cb792b797,2016-04-14 18:15:02 +0000,2016-04-14 18:15:02 +0000
a1048ed6-817f-e1e7-1d4c-35d8b80eaebd,a2ab5444-fa1b-227e-e25d-e40d085a7b9d,2016-04-14 18:14:28 +0000,2016-04-14 18:14:28 +0000
a1048ed6-817f-e1e7-1d4c-35d8b80eaebd,a2ab5444-fa1b-227e-e25d-e40d085a7b9d,2016-04-14 18:14:28 +0000,2016-04-14 18:14:28 +0000
a1048ed6-817f-e1e7-1d4c-35d8b80eaebd,a2ab5444-fa1b-227e-e25d-e40d085a7b9d,2016-04-14 18:14:28 +0000,2016-04-14 18:14:28 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,c9583546-ad78-7bc8-74dc-5b56acb4443d,2016-04-14 17:38:22 +0000,2016-04-14 17:38:22 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,c9583546-ad78-7bc8-74dc-5b56acb4443d,2016-04-14 17:38:22 +0000,2016-04-14 17:38:22 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,c9583546-ad78-7bc8-74dc-5b56acb4443d,2016-04-14 17:38:22 +0000,2016-04-14 17:38:22 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,c9583546-ad78-7bc8-74dc-5b56acb4443d,2016-04-14 17:38:22 +0000,2016-04-14 17:38:22 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,c9583546-ad78-7bc8-74dc-5b56acb4443d,2016-04-14 17:38:22 +0000,2016-04-14 17:38:22 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,c9583546-ad78-7bc8-74dc-5b56acb4443d,2016-04-14 17:38:22 +0000,2016-04-14 17:38:22 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,0f63f903-5048-4ee8-35e4-d47fef8fee2d,2016-04-14 17:38:21 +0000,2016-04-14 17:38:21 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,0f63f903-5048-4ee8-35e4-d47fef8fee2d,2016-04-14 17:38:21 +0000,2016-04-14 17:38:21 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,0f63f903-5048-4ee8-35e4-d47fef8fee2d,2016-04-14 17:38:21 +0000,2016-04-14 17:38:21 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,0f63f903-5048-4ee8-35e4-d47fef8fee2d,2016-04-14 17:38:21 +0000,2016-04-14 17:38:21 +0000
