acquiree_name,acquiree_country_code,state_code,acquiree_region,acquiree_city,acquirer_name,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_on,price_usd,price,price_currency_code,acquiree_cb_url,acquirer_cb_url,acquiree_uuid,acquirer_uuid,acquisition_uuid
iWeb Technologies,CAN,QC,Montreal,Montréal,Internap,USA,GA,Atlanta,Atlanta,2013-10-30,,,,https://www.crunchbase.com/organization/iweb-technologies,https://www.crunchbase.com/organization/internap,d6a68816-c544-70e0-f464-876c96bca065,e000d3af-3229-2066-339f-460687af928e,1351f5cb-46df-852a-7e2c-d26e034c5bc6
ServiceMesh,USA,CA,Los Angeles,Santa Monica,CSC,USA,VA,"Washington, D.C.",Falls Church,2013-10-30,,,,https://www.crunchbase.com/organization/servicemesh,https://www.crunchbase.com/organization/csc,d60035bc-0073-fcc1-2b8c-285baa171857,7f5d8bcd-5e3d-97ec-281d-8e176c7c8330,d55a091a-3fd5-096b-814d-d51d5142efac
Soluto,ISR,,Tel Aviv,Tel Aviv,Asurion,USA,TN,Nashville,Nashville,2013-10-30,,,,https://www.crunchbase.com/organization/soluto,https://www.crunchbase.com/organization/asurion,8c42720b-127a-4aa8-dc15-5eac0dd38028,9cf163fb-1f77-0b6d-21ef-c9c6a36f70f0,f1b535be-ff16-ca52-68d2-3d4dbfb273f2
Avado,USA,WA,Seattle,Seattle,WebMD,USA,NY,New York City,New York,2013-10-29,,,,https://www.crunchbase.com/organization/avado,https://www.crunchbase.com/organization/webmd,3ec83fc3-ea07-85d2-de91-b07f53fb8dc6,0cf0a225-64eb-2ca3-0a51-6b91a12f3877,2f476892-752a-1f74-aea4-350cbb1d63b7
Net Optics,USA,CA,SF Bay Area,Santa Clara,IXIA,USA,CA,Los Angeles,Calabasas,2013-10-29,,,,https://www.crunchbase.com/organization/net-optics,https://www.crunchbase.com/organization/ixia,30b45407-fc66-b30c-a98d-240e1c65b8b1,70d38275-5a5f-e583-b308-321618fdb15d,59099b7c-69ac-d201-4206-ac26360b5911
"Perka, Inc.",USA,OR,"Portland, Oregon",Portland,First Data Corporation,USA,GA,Atlanta,Atlanta,2013-10-29,,,,https://www.crunchbase.com/organization/perka-inc,https://www.crunchbase.com/organization/first-data-corporation,2d029828-b999-754d-c08c-b6e1b4536247,8de4fcd1-e336-f02d-b087-3b7d9d190a4e,1f15dd69-37f6-ab7a-f4a8-f138a0449936
Shipwire,USA,CA,SF Bay Area,Palo Alto,Ingram Micro,USA,CA,"Orange County, California",Santa Ana,2013-10-29,,,,https://www.crunchbase.com/organization/shipwire,https://www.crunchbase.com/organization/ingram-micro,302aa2b4-6369-a1b3-0a88-669693e026ce,35eee95f-db61-6ab6-b379-9b016b6dff46,ab2a7b41-67b1-b388-8ca4-55dfbb3d6480
The Now Factory,IRL,,Dublin,Dublin,IBM,USA,NY,New York City,Armonk,2013-10-29,,,,https://www.crunchbase.com/organization/the-now-factory,https://www.crunchbase.com/organization/ibm,6f0a203d-4e09-0821-fb78-6d28ffa88d12,fc5fbe7a-562d-d577-b05e-46797caa134c,8d3f6d7a-5bee-5d91-c975-9e8ce3d5776b
Vidacare,USA,TX,San Antonio,San Antonio,Teleflex,USA,PA,Philadelphia,Royersford,2013-10-29,,,,https://www.crunchbase.com/organization/vidacare,https://www.crunchbase.com/organization/teleflex,106952db-53a0-da57-f0bf-5721a9221862,87c58be5-6cef-2a48-fd5a-9a448fe209d3,11610e78-4819-0324-102d-38025fe3fe69
Chellomedia,,,,,AMC,USA,NY,New York City,New York,2013-10-28,,750000000,EUR,https://www.crunchbase.com/organization/chellomedia,https://www.crunchbase.com/organization/amc,7c358fd3-821d-efec-e1f5-82be5d883107,4d7e1eac-e7e3-3965-5f9f-8663360d27a9,32566ddc-1333-380f-cead-603759549c54
