name,country_code,company_state_code,region,city,stock_exchange_symbol,stock_symbol,went_public_on,price_usd,price,price_currency_code,cb_url,ipo_uuid,uuid
LDR Holding,USA,TX,Austin,Austin,,LDRH,2013-10-09,,,,https://www.crunchbase.com/organization/ldr-holding,85bf82ee-7856-8db6-754a-3a399bb98a5b,a19894e6-fde7-2878-69ef-9c93e8bf57fd
Quality Technology Services,USA,KS,Kansas City,Overland Park,,QTS,2013-10-09,,,,https://www.crunchbase.com/organization/quality-technology-services,d6db3bf8-b245-f4bf-36a6-314cb36ebe69,27c257a6-9117-8e43-c683-4209d52005a8
SFX Entertainment,USA,NY,New York City,New York,,SFXE,2013-10-09,,,,https://www.crunchbase.com/organization/sfx-entertainment,5a1e8713-f892-454d-ef9f-fe390ab3bc7d,767fba43-e72f-787b-837c-03a6c8a99835
Cherry Hill Mortgage Investment Corporation,USA,NJ,NJ - Other,Moorestown,NYSE,CHMI,2013-10-07,,,,https://www.crunchbase.com/organization/cherry-hill-mortgage-investment-corporation,c5d049ed-da82-d32e-2b04-cec6f3f0de24,b2fbc147-ea72-4bd2-cdd9-b3a9ccacfdc0
OCI Partners LP,USA,TX,TX - Other,Nederland,NYSE,OCIP,2013-10-07,,,,https://www.crunchbase.com/organization/oci-partners-lp,430f5947-def5-4b63-a719-9ecd09895f1c,a8d3b96d-2213-636e-5165-72139cf9d442
MetaStat,USA,NJ,Newark,Montclair,,MTST,2013-10-04,,,,https://www.crunchbase.com/organization/metastat,f1e4d97b-31e5-619a-94dd-792da3054e56,c871052b-d990-48ae-49c9-6af5120b682f
OCI Partners LP,USA,TX,TX - Other,Nederland,NYSE,OCIP,2013-10-04,,,,https://www.crunchbase.com/organization/oci-partners-lp,0f37f882-975f-e801-5cbf-5f1439f95bd5,a8d3b96d-2213-636e-5165-72139cf9d442
Potbelly Sandwich Works,USA,IL,Chicago,Chicago,NASDAQ,PBPB,2013-10-04,,,,https://www.crunchbase.com/organization/potbelly-sandwich-works,4b4afddd-4f87-c831-2a5d-efd361ee6f1a,7d7f49c2-55f1-7a02-c8b9-2723422b6f5e
Empire State Realty Trust,,,,,NYSE,ESRT,2013-10-03,,,,https://www.crunchbase.com/organization/empire-state-realty-trust,04b4313a-1c12-adac-f655-6dea952fb24e,fb7ccb26-0d76-d6fb-771a-fca4c682361c
LifeLock,USA,AZ,Phoenix,Tempe,NYSE,LOCK,2013-10-03,776775267,,,https://www.crunchbase.com/organization/lifelock,25a0d812-231d-4373-a815-9cb6a390804b,b93d25ff-cf38-929e-57a6-b40bf77db9ca
Actavis,USA,NJ,Newark,Parsippany,,ACT,2013-10-02,,,,https://www.crunchbase.com/organization/actavis,4393cc7b-88ef-8d2b-1a92-3cbfa9248fac,7b8a066b-02cf-bda8-8537-05fd54f3607b
Burlington Stores,USA,NJ,NJ - Other,Burlington,NYSE,BURL,2013-10-02,,,,https://www.crunchbase.com/organization/burlington-stores,532afcd6-7c28-d114-2f50-d1636a04d17d,85852f3f-3599-a33e-97ad-c1d30428ab73
W. P. Carey,USA,NY,New York City,New York,,WPC,2013-10-02,,,,https://www.crunchbase.com/organization/w-p-carey,4b30244a-8fa6-b314-fcae-5b707deeb290,d4c15d7c-ff0a-5d3a-7318-1995aae7de8e
Benitec Ltd,AUS,,Melbourne,Melbourne,ASX,BLT.AX,2013-10-01,,,,https://www.crunchbase.com/organization/benitec-ltd,2ac66b14-d218-f208-5e77-2bf4f533841e,b1eda2b0-011f-4ee7-c367-5626eb36a268
CNH Industrial N.V.,GBR,,London,Basildon,,CNHI,2013-10-01,,,,https://www.crunchbase.com/organization/cnh-industrial-n-v,1c2d5ff1-28b9-dbad-dce6-caaef2980fd2,baf65626-a1ac-bffe-288e-390b15331409
Fate Therapeutics,USA,CA,San Diego,La Jolla,,FATE,2013-10-01,,,,https://www.crunchbase.com/organization/fate-therapeutics,6ecbf61a-6ccc-2094-53eb-e4d182deb374,53c63fba-e48b-b2e3-ed8f-51cf6dfbe114
Premier,USA,NC,Charlotte,Charlotte,,PINC,2013-09-27,,,,https://www.crunchbase.com/organization/premier,e3a317b5-bbad-eecc-3907-3cb124009f19,2e00a005-ec25-49e4-52e7-16540c46bf13
