investor_name,domain,country_code,state_code,region,city,investor_type,investment_count,founded_on,closed_on,cb_url,twitter_url,facebook_url,uuid
Canaan Partners,canaan.com,USA,CA,SF Bay Area,Menlo Park,venture_capital,382,1987-01-01,,https://www.crunchbase.com/organization/canaan-partners,https://www.twitter.com/canaanpartners,https://www.facebook.com/canaanpartners,26bcf130-4aa8-a3b3-3571-1b8f13143370
U.S. Venture Partners (USVP),usvp.com,USA,CA,SF Bay Area,Menlo Park,venture_capital,380,1981-01-01,,https://www.crunchbase.com/organization/us-venture-partners,https://www.twitter.com/usvp_,http://www.facebook.com/us-venture-partners-usvp/113779035,a2b35e8b-e3e9-883b-8a07-38e6ef57d726
Polaris Partners,polarispartners.com,USA,MA,Boston,Waltham,venture_capital,377,1996-01-01,,https://www.crunchbase.com/organization/polaris-partners,https://www.twitter.com/polarisvc,http://www.facebook.com/pages/polaris-partners/404737049642094,add1bcfe-41e3-7828-253b-d7c8694ed4ca
Kima Ventures,kimaventures.com,FRA,,Paris,Paris,venture_capital,376,2010-01-01,,https://www.crunchbase.com/organization/kima-ventures,https://www.twitter.com/kimaventures,http://www.facebook.com/kimaventures,d1bc5ab8-adde-56aa-5dfc-d69d0377430d
Crowdcube,crowdcube.com,GBR,,Exeter,Exeter,funding_platform,369,2010-08-01,,https://www.crunchbase.com/organization/crowdcube,https://www.twitter.com/crowdcube,http://www.facebook.com/crowdcube,01a2a666-577c-1673-eba6-74c02aaf2e80
Matrix Partners,matrixpartners.com,USA,CA,SF Bay Area,Palo Alto,venture_capital,364,1977-01-01,,https://www.crunchbase.com/organization/matrix-partners,https://www.twitter.com/matrixpartners,,0e09f1a3-ab17-d2d6-80a4-4425f38e4078
Mayfield Fund,mayfield.com,USA,CA,SF Bay Area,Menlo Park,venture_capital,355,1969-01-01,,https://www.crunchbase.com/organization/mayfield-fund,https://www.twitter.com/mayfieldfund,http://www.facebook.com/mayfieldfund,3213cd7d-06e0-3ecb-3359-29aa8deddfa6
RRE Ventures,rre.com,USA,NY,New York City,New York,venture_capital,355,1994-09-01,,https://www.crunchbase.com/organization/rre-ventures,https://www.twitter.com/rre,http://www.facebook.com/rrevc,f5315b3c-bb4c-1828-9b81-2f2103cdb761
CRV,crv.com,USA,MA,Boston,Cambridge,venture_capital,354,1970-01-01,,https://www.crunchbase.com/organization/charles-river-ventures,https://www.twitter.com/crv,http://www.facebook.com/charlesriverventures,4e0cf914-3a8e-c3c2-4ef8-ee6f5e8fdb47
Microsoft Ventures,microsoftventures.com,USA,WA,Seattle,Redmond,accelerator,349,,,https://www.crunchbase.com/organization/microsoft-ventures,https://www.twitter.com/msftventures,http://www.facebook.com/microsoftventures,61329417-1512-b6b7-c945-d1cb383bbb3e
IDG Capital Partners,idgvc.com,CHN,,Beijing,Beijing,corporate_venture_capital,346,1993-01-01,,https://www.crunchbase.com/organization/idg-capital-partners,,,343a0c91-d3b9-80fa-2330-cfde495decf1
Foundation Capital,foundationcapital.com,USA,CA,SF Bay Area,Menlo Park,venture_capital,344,1995-10-01,,https://www.crunchbase.com/organization/foundation-capital,https://www.twitter.com/foundationcap,http://www.facebook.com/foundationcapital,704baa25-5337-ecb0-71f7-f28c18ad3faa
Highland Capital Partners,hcp.com,USA,MA,Boston,Cambridge,venture_capital,343,1988-07-01,,https://www.crunchbase.com/organization/highland-capital-partners,https://www.twitter.com/highlandcapital,http://www.facebook.com/highlandcapitalpartners,b51ff078-c9d9-9f51-681d-4f9ac888e070
Startupbootcamp,startupbootcamp.org,GBR,,London,London,accelerator,343,2010-01-01,,https://www.crunchbase.com/organization/startupbootcamp,https://www.twitter.com/sbootcamp,http://www.facebook.com/startupbootcamp,310d858d-653e-90d4-2527-dc9a555326e7
Tech Coast Angels,techcoastangels.com,USA,CA,Anaheim,Newport Beach,angel_group,338,1997-01-01,,https://www.crunchbase.com/organization/tech-coast-angels,https://www.twitter.com/techcoastangels,http://www.facebook.com/techcoastangels,c06fab5e-2646-a238-a280-1ce83e63f507
Silicon Valley Bank,svb.com,USA,CA,SF Bay Area,Santa Clara,investment_bank,335,1983-10-17,,https://www.crunchbase.com/organization/silicon-valley-bank,https://www.twitter.com/svb_financial,http://www.facebook.com/pages/svb-financial-group-silicon-valley,4eee5e60-3b06-6fe8-cc2c-29119a96051d
True Ventures,trueventures.com,USA,CA,SF Bay Area,Palo Alto,venture_capital,335,2006-01-01,,https://www.crunchbase.com/organization/true-ventures,https://www.twitter.com/trueventures,http://www.facebook.com/trueventures,ead45092-f6d8-f3dd-6105-06b885d662ea
